1,70055,ALABAMA
2,11027,ALASKA
4,9177,ARIZONA
5,78981,ARKANSAS
6,97763,CALIFORNIA
8,10352,COLORADO
9,11421,CONNECTICUT
10,1804,DELAWARE
11,33518,DISTRICT OF COLUMBIA
12,68744,FLORIDA
13,30394,GEORGIA
15,15292,HAWAII
16,53110,IDAHO
17,20105,ILLINOIS
18,144648,INDIANA
19,39168,IOWA
20,67588,KANSAS
21,44086,KENTUCKY
22,60419,LOUISIANA
23,2970,MAINE
24,19368,MARYLAND
25,53268,MASSACHUSETTS
26,119141,MICHIGAN
27,97833,MINNESOTA
28,2858,MISSISSIPPI
29,71162,MISSOURI
30,6032,MONTANA
31,1982,NEBRASKA
32,8693,NEVADA
33,1323,NEW HAMPSHIRE
34,36881,NEW JERSEY
35,4056,NEW MEXICO
36,105032,NEW YORK
37,307906,NORTH CAROLINA
38,972,NORTH DAKOTA
39,109792,OHIO
40,106757,OKLAHOMA
41,127084,OREGON
42,258694,PENNSYLVANIA
44,7090,RHODE ISLAND
45,78597,SOUTH CAROLINA
46,647,SOUTH DAKOTA
47,90666,TENNESSEE
48,42354,TEXAS
49,4802,UTAH
50,2426,VERMONT
51,208464,VIRGINIA
53,12077,WASHINGTON
54,7290,WEST VIRGINIA
55,115941,WISCONSIN
56,227,WYOMING
