1,1293186,ALABAMA
2,24129,ALASKA
4,286614,ARIZONA
5,460970,ARKANSAS
6,2164519,CALIFORNIA
8,216732,COLORADO
9,351817,CONNECTICUT
10,204665,DELAWARE
11,321317,DISTRICT OF COLUMBIA
12,3167011,FLORIDA
13,3195363,GEORGIA
15,26266,HAWAII
16,11536,IDAHO
17,1796057,ILLINOIS
18,619472,INDIANA
19,109911,IOWA
20,169801,KANSAS
21,354112,KENTUCKY
22,1502916,LOUISIANA
23,17881,MAINE
24,1759438,MARYLAND
25,463796,MASSACHUSETTS
26,1375424,MICHIGAN
27,342186,MINNESOTA
28,1121752,MISSISSIPPI
29,704896,MISSOURI
30,4630,MONTANA
31,88442,NEBRASKA
32,249967,NEVADA
33,17622,NEW HAMPSHIRE
34,1129257,NEW JERSEY
35,38016,NEW MEXICO
36,2808679,NEW YORK
37,2179622,NORTH CAROLINA
38,20113,NORTH DAKOTA
39,1438271,OHIO
40,287959,OKLAHOMA
41,77789,OREGON
42,1423319,PENNSYLVANIA
44,59001,RHODE ISLAND
45,1339360,SOUTH CAROLINA
46,15840,SOUTH DAKOTA
47,1117489,TENNESSEE
48,3269253,TEXAS
49,33713,UTAH
50,8058,VERMONT
51,1613285,VIRGINIA
53,259482,WASHINGTON
54,66728,WEST VIRGINIA
55,368744,WISCONSIN
56,5149,WYOMING
