1,25576,ALABAMA
2,106660,ALASKA
4,271946,ARIZONA
5,20037,ARKANSAS
6,138427,CALIFORNIA
8,30131,COLORADO
9,5320,CONNECTICUT
10,2851,DELAWARE
11,1993,DISTRICT OF COLUMBIA
12,41776,FLORIDA
13,18416,GEORGIA
15,2987,HAWAII
16,22790,IDAHO
17,15037,ILLINOIS
18,14925,INDIANA
19,11549,IOWA
20,24050,KANSAS
21,9888,KENTUCKY
22,26272,LOUISIANA
23,8302,MAINE
24,10949,MARYLAND
25,8890,MASSACHUSETTS
26,53235,MICHIGAN
27,58982,MINNESOTA
28,12990,MISSISSIPPI
29,26952,MISSOURI
30,67289,MONTANA
31,13918,NEBRASKA
32,26355,NEVADA
33,1838,NEW HAMPSHIRE
34,9599,NEW JERSEY
35,183408,NEW MEXICO
36,46139,NEW YORK
37,121352,NORTH CAROLINA
38,38308,NORTH DAKOTA
39,23563,OHIO
40,294676,OKLAHOMA
41,46961,OREGON
42,24847,PENNSYLVANIA
44,3708,RHODE ISLAND
45,16686,SOUTH CAROLINA
46,72263,SOUTH DAKOTA
47,17848,TENNESSEE
48,68452,TEXAS
49,28047,UTAH
50,2106,VERMONT
51,22972,VIRGINIA
53,80274,WASHINGTON
54,3668,WEST VIRGINIA
55,50422,WISCONSIN
56,12717,WYOMING
