1,91619,ALABAMA
2,62461,ALASKA
4,154750,ARIZONA
5,75852,ARKANSAS
6,1166288,CALIFORNIA
8,133884,COLORADO
9,74301,CONNECTICUT
10,21497,DELAWARE
11,20143,DISTRICT OF COLUMBIA
12,379619,FLORIDA
13,204114,GEORGIA
15,341756,HAWAII
16,46592,IDAHO
17,232739,ILLINOIS
18,162295,INDIANA
19,65770,IOWA
20,101044,KANSAS
21,99826,KENTUCKY
22,91563,LOUISIANA
23,29208,MAINE
24,165654,MARYLAND
25,142666,MASSACHUSETTS
26,283718,MICHIGAN
27,157767,MINNESOTA
28,34893,MISSISSIPPI
29,155328,MISSOURI
30,29435,MONTANA
31,39893,NEBRASKA
32,100513,NEVADA
33,23818,NEW HAMPSHIRE
34,148884,NEW JERSEY
35,32278,NEW MEXICO
36,371862,NEW YORK
37,263301,NORTH CAROLINA
38,15772,NORTH DAKOTA
39,327089,OHIO
40,303110,OKLAHOMA
41,193660,OREGON
42,310880,PENNSYLVANIA
44,24415,RHODE ISLAND
45,110208,SOUTH CAROLINA
46,19958,SOUTH DAKOTA
47,142134,TENNESSEE
48,463123,TEXAS
49,67073,UTAH
50,12078,VERMONT
51,309213,VIRGINIA
53,343226,WASHINGTON
54,32139,WEST VIRGINIA
55,135990,WISCONSIN
56,12124,WYOMING
